,2022,2023,2024,2025,2026
ret_1,565.1722843796015,816.0780001282692,991.7296905517578,1038.8914032876492,1211.0928831398487
nret_1,253.8910664692521,340.22427982091904,325.878907173872,385.5692427456379,400.5835424363613
ret_3,365.67607106268406,510.61721208691597,581.0401737689972,625.7852562367916,705.1075371801853
nret_3,280.54727932810783,359.96612298488617,371.4566972255707,333.3550791144371,385.3303754925728
ret_7,357.2698900029063,462.8702732026577,529.7884156703949,647.7523561418056,712.8233118057251
nret_7,287.5674637258053,363.7515826523304,361.81622487306595,337.5620155930519,403.41471230983734
ret_14,269.0435739476234,357.7532803118229,394.3222344815731,437.72450283169746,395.9452337920666
nret_14,288.1791130155325,305.4221472144127,371.91922664642334,421.59895530343056,411.9163407981396
ret_30,358.69402834773064,398.40164625644684,461.7647815346718,490.3835011124611,530.0767629742622
nret_30,313.75198920071125,367.305279225111,408.1949598491192,401.6721886098385,466.9704307615757
ret_60,369.97373105585575,516.8492213189602,557.1812652349472,593.9122176766396,597.1652301549911
nret_60,292.5304874442518,351.8275796473026,388.1702289879322,420.0563266277313,415.5816669166088
ret_90,451.5856862924993,560.8206470906734,621.4249034523964,686.191533356905,705.6847151517868
nret_90,413.28604574501514,557.8484016656876,601.4075677394867,606.4851826131344,691.0500527918339
ret_180,509.3923069983721,571.329923927784,731.2716875076294,805.0895809829235,819.6038865745068
nret_180,438.1913945823908,549.0819891095161,667.0915083289146,746.8413500785828,780.882679194212
vol_7,502.99366572499275,634.3678713440895,733.927834302187,686.8962331712246,780.3917873203754
vol_30,647.100629389286,982.5434756875038,1200.4458481669426,1382.8014460504055,1859.2959284484386
vol_90,599.6124799102545,987.2601997554302,1209.0908662974834,1374.1747149825096,1752.5838560760021
vol_ratio,320.0706523358822,426.85534968972206,401.85191410779953,437.45685440301895,435.90659710764885
max_30,471.5594127327204,625.254394441843,726.7647432088852,857.4655196070671,1021.8268872499466
min_30,597.8322755992413,845.3417540192604,819.11628267169,932.9100021421909,1087.4561651349068
skew_30,347.6393995285034,456.8040718138218,515.9043504595757,591.1684635579586,561.7672909796238
ema_d_10,243.7485269755125,328.75296875834465,332.7452082037926,371.2194565832615,387.4977134466171
ema_d_30,227.2528375685215,308.5788721740246,316.66853511333466,329.65816125273705,303.78108248114586
ema_d_100,277.0794689655304,377.8583952486515,376.9135946035385,412.48714861273766,417.6283363997936
dd_90,507.71710689365864,605.0332885682583,676.1026593148708,743.1358411312103,846.6736764907837
ru_90,418.71597170084715,732.4131906926632,859.54960668087,946.0506763756275,871.6788613498211
don_20,386.21021592617035,416.6995712220669,410.5200655758381,401.43965753912926,375.25936087965965
don_60,378.9340808838606,490.93335542082787,587.8170362710953,578.2918572723866,545.8628727197647
er_14,247.0113571882248,297.1964629292488,326.97624453902245,342.8207018375397,373.52802062034607
er_60,357.3623137958348,417.58386611938477,465.10618019104004,421.7469386458397,435.66887205839157
chop_14,377.1681309789419,411.1572796702385,414.29849874973297,478.13477712869644,483.40874952077866
r2_30,348.55998733639717,364.41314339637756,448.16317996382713,477.3855779469013,486.831477612257
r2_90,538.9761739298701,688.5142683386803,724.2664512395859,696.6139400601387,764.493388146162
rsi_14,241.59932075440884,279.5528943836689,299.20588904619217,311.5816251039505,345.26519176363945
size,762.3168783932924,689.4597744047642,760.6796582937241,808.8341861069202,870.1896269321442
dv_chg,493.736351236701,657.1945134997368,760.6259820759296,773.4268562197685,718.1543929874897
beta_60,0.0,0.0,0.0,0.0,0.0
resmom_30,0.0,0.0,0.0,0.0,0.0
age,659.2796361893415,914.4997172355652,957.4533369541168,1043.6905878186226,1298.7628797888756
h4_rsi_14,225.92830581311136,255.20658838748932,255.99195128679276,277.40668350458145,289.67729845643044
h4_er_42,345.8957511112094,370.86201548576355,371.55377969145775,443.2180199623108,429.9635289609432
h4_nret_12,256.43164753355086,271.6921643614769,288.41963186860085,299.3768544495106,287.9504937827587
h4_chop_42,303.83040088415146,368.51825907826424,335.92364344000816,369.43154644966125,434.3959874510765
h4_pos_42,451.03662782907486,520.3615870773792,492.5911366045475,465.74970465898514,489.8050933480263
mkt_ret_7,664.8733603060246,748.0755680501461,863.4302685558796,1070.025848865509,1164.001995921135
mkt_ret_30,530.2613839916885,632.2128759324551,719.2917880117893,822.4616347849369,931.7113887667656
mkt_ret_90,758.5330173373222,938.6722995638847,1035.5194083154202,1038.3351440131664,1049.6871102452278
lead_ret_30,607.6194224189967,732.462813526392,869.9649944007397,950.8581335246563,1080.0766292512417
breadth_30,551.7392854765058,622.8049604892731,756.0552069246769,736.0482937395573,799.4000577926636
disp_30,688.7535656094551,811.314462274313,729.5809050798416,748.5034128129482,834.3325983285904
