,0
don_pos_96,3033182.5042266846
st_24_4.0,2218448.351501465
dc_1.0,981448.8187255859
ru_96,909510.6853485107
ema_dist_50,856220.8322143555
dd_96,823076.816619873
dc_ov_1.0,796642.4947509766
don_pos_48,438669.4377593994
ru_192,424586.0587310791
dd_192,272771.854598999
dd_48,217597.6902923584
ru_48,216785.63732910156
dc_2.0,201980.00706481934
dc_ov_0.5,182294.19465637207
st_48_3.0,152637.75173950195
don_pos_192,121279.70495605469
ema_x_10_40,103409.19995117188
btc_h24_mom_96,77241.40612792969
ru_24,74136.50303649902
br_dc_2.0,63244.31912231445
dd_24,55987.124572753906
h24_di14,55006.08695983887
h4_st_24_4.0,35801.01599121094
vol_level,35499.955993652344
br_h24_dc_1.0,34544.505142211914
btc_dc_2.0,24138.997955322266
rsi_56,22466.13787841797
br_dc_1.0,21759.218048095703
btc_h4_mom_96,19322.20002746582
ema_dist_100,16250.089965820312
h24_don_pos_96,15935.997940063477
ru_12,15700.307067871094
since_lo_192,15697.73600769043
dc_ov_2.0,15519.126937866211
dd_12,14604.997009277344
h24_ema_dist_200,14400.3740234375
btc_mom_384,14179.776931762695
h4_ru_96,14071.129974365234
don_pos_24,13843.270935058594
btc_mom_96,13804.992080688477
since_hi_192,12457.581924438477
st_10_3.0,12095.626983642578
h4_mom_384,11966.047988891602
ru_384,11786.081008911133
h24_vol_ratio,11612.135009765625
h4_mom_24,11121.539001464844
h24_ema_dist_50,10971.921035766602
dd_384,10686.909042358398
dc_4.0,10390.278991699219
h24_mom_384,10368.44692993164
h24_ru_96,9755.81494140625
h4_tstat_96,9691.891983032227
since_lo_384,9405.064056396484
h4_dd_96,9286.473907470703
btc_ema_slope_200,9173.11196899414
rel_mom_384,8918.319961547852
tstat_384,8867.713012695312
h4_ema_slope_50,8249.190963745117
h24_ema_slope_50,7720.567001342773
ema_x_50_200,7452.306045532227
ema_slope_400,6895.478012084961
vol_ratio,6542.471939086914
since_hi_384,6394.514984130859
h24_mom_24,6366.208923339844
h24_adx14,6320.48698425293
h24_ema_slope_200,6151.925994873047
dc_ov_4.0,5920.302017211914
h24_dd_96,5892.1190185546875
h24_tstat_96,5811.886047363281
h4_vol_ratio,5714.22705078125
h24_dc_1.0,5626.113983154297
btc_tstat_384,5616.592010498047
br_mom_384,5596.855010986328
dc_0.5,5535.755966186523
h4_ema_slope_200,5523.959030151367
h4_dc_ov_1.0,5463.4639892578125
dc_age_2.0,5252.320953369141
h4_ema_dist_200,4981.523010253906
tstat_96,4768.2869873046875
ema_dist_400,4363.218032836914
h24_st_24_4.0,4247.834014892578
btc_h24_dc_1.0,4204.808013916016
br_h4_mom_96,4062.7659912109375
ema_slope_200,4032.8390197753906
dc_age_4.0,3518.416976928711
btc_dc_ov_1.0,3514.4969482421875
er_192,3346.8049926757812
rel_mom_96,3315.8810272216797
h24_er_96,3179.539016723633
mom_96,3118.6029357910156
don_pos_384,3105.740005493164
h24_mom_96,3054.489990234375
ema_slope_100,3026.6619873046875
since_hi_96,2949.4700317382812
since_lo_96,2894.5800170898438
br_ema_dist_200,2874.656997680664
btc_tstat_96,2602.75
h4_dc_1.0,2565.6090240478516
br_n,2505.115982055664
flow_192,2319.0160522460938
don_pos_12,2142.386993408203
btc_er_96,2142.0989990234375
adx56,2034.303970336914
mom_192,1990.8779754638672
h4_dc_2.0,1888.0879821777344
er_96,1627.1650085449219
h4_di14,1594.0679779052734
h4_don_pos_96,1524.9000091552734
rsi_14,1357.4100341796875
h4_mom_96,1103.5499877929688
br_mom_96,1067.3489837646484
btc_ema_dist_200,987.6269836425781
h4_er_96,976.0189971923828
btc_h4_dc_1.0,833.7969818115234
btc_st_24_4.0,760.3890075683594
br_tstat_96,742.7539978027344
ema_x_20_100,735.4940032958984
er_384,715.4739990234375
dc_age_1.0,698.0220031738281
h4_ema_dist_50,557.468994140625
mom_384,522.8970184326172
ru_6,518.9519958496094
ema_slope_10,436.30499267578125
ema_slope_50,370.0050048828125
h24_dc_ov_1.0,288.24700927734375
di56,246.58900451660156
h4_adx14,246.3419952392578
vol_z,235.7469940185547
dd_6,220.1529998779297
since_hi_48,200.9980010986328
btc_ema_dist_50,187.18800354003906
dc_age_0.5,173.41400146484375
since_hi_24,0.0
since_lo_24,0.0
er_24,0.0
since_hi_6,0.0
don_pos_6,0.0
mom_6,0.0
since_lo_6,0.0
mom_12,0.0
er_6,0.0
since_hi_12,0.0
since_lo_12,0.0
er_48,0.0
since_lo_48,0.0
mom_48,0.0
mom_24,0.0
er_12,0.0
ema_dist_20,0.0
ema_dist_10,0.0
ema_dist_200,0.0
flow_48,0.0
tstat_24,0.0
di14,0.0
adx14,0.0
ema_slope_20,0.0
btc_dc_1.0,0.0
h24_dc_2.0,0.0
btc_mom_24,0.0
