label,year,features,auc,n_test,base
ret,2022,ALL features,0.5415893440057238,1274,0.3281004709576138
ret,2022,"ALL, shuffled training labels (null)",0.5319473013459732,1274,0.3281004709576138
ret,2022,1h price+MTF,0.5855542637392122,1274,0.3281004709576138
ret,2022,1h flow,0.4975489648079417,1274,0.3281004709576138
ret,2022,4h price,0.5472935205473326,1274,0.3281004709576138
ret,2022,4h flow,0.5222046460671645,1274,0.3281004709576138
ret,2022,4h derivatives,0.5083536421768099,1274,0.3281004709576138
ret,2022,4h cross-market,0.475171041452399,1274,0.3281004709576138
ret,2022,event context,0.5323441622322587,1274,0.3281004709576138
ret,2023,ALL features,0.5435398012246531,1299,0.3625866050808314
ret,2023,"ALL, shuffled training labels (null)",0.5157594592654132,1299,0.3625866050808314
ret,2023,1h price+MTF,0.5522605823768936,1299,0.3625866050808314
ret,2023,1h flow,0.5306855595556786,1299,0.3625866050808314
ret,2023,4h price,0.5196877852651876,1299,0.3625866050808314
ret,2023,4h flow,0.5178056760720843,1299,0.3625866050808314
ret,2023,4h derivatives,0.5296291167933372,1299,0.3625866050808314
ret,2023,4h cross-market,0.489418905197083,1299,0.3625866050808314
ret,2023,event context,0.5154722709416699,1299,0.3625866050808314
ret,2024,ALL features,0.5233400369516522,1328,0.41490963855421686
ret,2024,"ALL, shuffled training labels (null)",0.48625057517979475,1328,0.41490963855421686
ret,2024,1h price+MTF,0.47700799061960586,1328,0.41490963855421686
ret,2024,1h flow,0.5161879535745234,1328,0.41490963855421686
ret,2024,4h price,0.48703538903175925,1328,0.41490963855421686
ret,2024,4h flow,0.48945523174198313,1328,0.41490963855421686
ret,2024,4h derivatives,0.5009798494371998,1328,0.41490963855421686
ret,2024,4h cross-market,0.5158843053579896,1328,0.41490963855421686
ret,2024,event context,0.4919217895624429,1328,0.41490963855421686
ret,2025,ALL features,0.5487143291491118,1416,0.3573446327683616
ret,2025,"ALL, shuffled training labels (null)",0.5164075055379403,1416,0.3573446327683616
ret,2025,1h price+MTF,0.5129739825392,1416,0.3573446327683616
ret,2025,1h flow,0.5086999956565174,1416,0.3573446327683616
ret,2025,4h price,0.5461212700343135,1416,0.3573446327683616
ret,2025,4h flow,0.5067171958476306,1416,0.3573446327683616
ret,2025,4h derivatives,0.4807388263910003,1416,0.3573446327683616
ret,2025,4h cross-market,0.5121150588541893,1416,0.3573446327683616
ret,2025,event context,0.5017916865742953,1416,0.3573446327683616
ret,2026,ALL features,0.5116789092638588,933,0.31939978563772775
ret,2026,"ALL, shuffled training labels (null)",0.4628177350314432,933,0.31939978563772775
ret,2026,1h price+MTF,0.5583734080219838,933,0.31939978563772775
ret,2026,1h flow,0.476589335729007,933,0.31939978563772775
ret,2026,4h price,0.5843523754161601,933,0.31939978563772775
ret,2026,4h flow,0.5130846060349838,933,0.31939978563772775
