strategy,mcc,fpt,delay,err,lag_share
"SuperTrend(48,4) 1h",0.3705972548555545,2.316348195329087,18.0,0.3144017980636238,0.4946733678104975
PERFECT meta-label (oracle label),0.5596308646930009,1.4086437514581227,14.0,0.22830221300138312,0.5727017525234377
PERFECT meta-label (profitable label),0.44643442624065244,0.865890522875817,16.0,0.3139911825726141,0.768458623522533
oracle truth delayed 0 bars,1.0,1.0,0.0,0.0,0.0
oracle truth delayed 2 bars,0.9721975964841014,1.0,2.0,0.013658367911479945,1.0
oracle truth delayed 4 bars,0.944396738001265,1.0,4.0,0.02731673582295989,1.0
oracle truth delayed 8 bars,0.8894490422800003,1.0,8.0,0.05446058091286307,0.9957085960348604
oracle truth delayed 12 bars,0.8354906409183995,1.0,12.0,0.08104253112033195,0.990763057902796
oracle truth delayed 18 bars,0.7547653556743484,1.0,18.0,0.12080739972337483,0.9826150121065376
oracle truth delayed 24 bars,0.6777203169632646,1.0,24.0,0.15875691562932226,0.9622173264604685
oracle truth delayed 36 bars,0.5417539515895533,1.0,36.0,0.22531984785615491,0.9169988745238971
oracle truth delayed 48 bars,0.426205676718598,1.0,48.0,0.2829356846473029,0.8922402059415315
