coin,net,acc,p
TRX,0.7561176470588236,True,0.8008289405623747
ADA,0.6786821523081445,True,0.7956776394240789
ADA,0.6563512307946475,True,0.7026805746595898
XRP,0.5895078569040455,True,0.4322648534307999
ADA,0.5627917961466753,True,0.8967125909095552
BNB,0.45202726146220584,True,0.7318670241166905
SOL,0.3916977772923378,True,0.4413645463075345
XRP,0.3662561307901908,True,0.5084827581809718
DOGE,0.3590546489343167,True,0.38533628743608905
DOGE,0.35121420283128324,True,0.6928194273684602
LINK,0.32126820603907635,True,0.36848355770470825
ETH,0.288993601352167,True,0.8080455521647403
LINK,0.2828484848484849,True,0.7864300092336406
DOGE,0.28098804485037476,True,0.6276043657679966
AVAX,0.273747508305648,True,0.7920731073603846
DOGE,0.2712914971381284,True,0.6225084502142539
ETH,0.2662825543009737,True,0.6012499142826702
LINK,0.2641141804788214,True,0.8259407758249189
DOGE,0.2632560263144974,True,0.6820912403398964
BTC,0.2550463381167458,True,0.6915718706837234
ETH,0.24719255467558354,True,0.425038065859126
SOL,0.246410174880763,True,0.3847161797220653
DOGE,0.2435067856706199,True,0.666349728145572
ADA,0.24095302013422826,True,0.743794265253154
BTC,0.23746072011978292,True,0.7980757663112633
DOGE,0.2323608124253287,True,0.71817166446701
ETH,0.2253644608666443,False,0.25189638225232247
BTC,0.2249145442495617,True,0.46929540871617875
AVAX,0.2247848810079327,True,0.7070365644694405
XRP,0.22180135149629931,True,0.4391487948345542
ADA,0.2209232386961093,True,0.7034702104540721
XRP,0.2204607234198026,True,0.8942017341780903
XRP,0.22006759443339963,True,0.4708645333485967
LINK,0.21996796338672753,True,0.5987823392332581
ADA,0.21953080273802117,True,0.33243556836922433
BNB,0.21752943454686302,True,0.6975659480861143
ETH,0.21224816591562035,True,0.6287347420090496
SOL,0.2116400986031226,True,0.5681927522786253
SOL,0.21124146195326543,True,0.8219666181195636
SOL,0.21007729468599035,True,0.6065041271241212
DOGE,0.20521692243882206,False,0.19416668581603552
ADA,0.2049956066238594,True,0.465521747682138
XRP,0.20425641835848007,True,0.6969823836650504
AVAX,0.20248877805486298,True,0.5342624228844367
XRP,0.20223183072677076,True,0.7829520108755385
LINK,0.20121886820440538,True,0.4261164452413416
LINK,0.19902564102564102,True,0.46436871389957746
DOGE,0.1965496183206108,True,0.4127053002219273
AVAX,0.1936735496558506,True,0.7272535883278103
DOGE,0.19293589743589745,True,0.49673320557793393
ETH,0.17856125233747489,False,0.27327773796340693
XRP,0.1774567003461176,True,0.38511413923325233
AVAX,0.1773130990415337,True,0.39089315183782763
ADA,0.17330642078038894,True,0.4737279720529404
LINK,0.17291039426523303,False,0.2957564576086491
AVAX,0.17147560975609766,False,0.24130647856266363
DOGE,0.1703991206297426,True,0.5323919638709053
XRP,0.16497210344125457,False,0.23386835180029156
DOGE,0.16287912836227436,True,0.8587345635998022
TRX,0.16048153618906968,True,0.5814183321056635
XRP,0.1583453459902926,True,0.47623830046550675
AVAX,0.1582671118530885,True,0.6675721261695902
ADA,0.15703197925669832,True,0.612996392665499
DOGE,0.1565781060649778,True,0.6090636840283362
DOGE,0.15322007229428025,True,0.724742145850312
LINK,0.15274696779590125,True,0.4751084074321785
DOGE,0.15230885593472676,True,0.5616563506145534
SOL,0.1502748375116063,True,0.41709190928618445
SOL,0.14710671173346213,True,0.33379749580958956
ADA,0.14663771243593215,True,0.7385611115789441
ADA,0.14658559346748312,True,0.3984030375654414
DOGE,0.14634404752217423,True,0.47777376058086907
XRP,0.14340034776848554,True,0.5447803934591212
XRP,0.14302815706240835,True,0.623744015519507
SOL,0.14214971773258056,True,0.31935159321452894
SOL,0.14094345094248428,True,0.49129966304622436
SOL,0.13959165595085032,True,0.8287802894106754
AVAX,0.13923989218328847,True,0.5437820539074254
AVAX,0.13863571918591377,True,0.6432665497224346
AVAX,0.13434033828805747,True,0.7820398825591569
SOL,0.13394360293417162,True,0.7405441108881278
BNB,0.13343046357615895,True,0.7736279595376564
BNB,0.1329464485182994,True,0.700301038094141
SOL,0.1320669663826075,True,0.6141067270209022
ADA,0.13075205698145642,True,0.4875140963395153
ADA,0.1302922804949911,True,0.7420592451320502
DOGE,0.12718321043675562,True,0.6400996758296806
ETH,0.126083618366996,True,0.6169297307345202
AVAX,0.12346894539391418,True,0.8200934339110123
ETH,0.12305969397434291,True,0.6525847286013167
AVAX,0.1210726100364452,True,0.7174375730571524
SOL,0.1200559618868684,True,0.7329318782783671
LINK,0.11960898035547252,True,0.7691264576466375
SOL,0.11903367050020774,True,0.7102895360293816
AVAX,0.11890483619344772,True,0.7354999730640523
BNB,0.11878774617067833,True,0.48803450496195605
SOL,0.11738534278959811,True,0.7367695157919213
BTC,0.11736231592203294,True,0.6234183707610202
ETH,0.11702008246234796,True,0.46164899030086487
BNB,0.11618362086059886,True,0.6914866610314544
SOL,0.11600703292688497,True,0.5848396742455529
BNB,0.11481465038845728,True,0.547040355734606
DOGE,0.1134023253136871,True,0.8423445594719491
DOGE,0.11313480392156872,True,0.6298214391798751
DOGE,0.11156811356811369,True,0.7167677419867438
LINK,0.11145646437994738,True,0.45261943134747606
BNB,0.11036721982850572,True,0.38520389765069557
AVAX,0.11032718894009208,True,0.8009182929853531
LINK,0.10927487103905675,True,0.48953986469902055
BNB,0.10803565197602971,True,0.7685910004089934
AVAX,0.10587518573551269,True,0.6076488671645643
TRX,0.10579014308426071,True,0.621100315780812
ADA,0.10424766180321754,True,0.5285421838398113
LINK,0.10342879622344614,True,0.4728234948247912
XRP,0.10308490521661406,True,0.3607748987434844
SOL,0.1030313526425799,True,0.7005594696635025
AVAX,0.10288958990536279,True,0.4823819860038684
TRX,0.10182904353352407,True,0.8249738329345102
DOGE,0.10119557904853438,True,0.6427757353986747
ADA,0.10047153568453226,True,0.8451348003574263
BTC,0.09992188062731233,True,0.4546879275730858
DOGE,0.09916565073254202,True,0.4458462484355646
AVAX,0.09870384407146715,True,0.6626590482236279
ETH,0.09792154318269852,True,0.6772152319005675
TRX,0.0976235423744376,True,0.3919382000566125
ADA,0.09677694859038155,True,0.5501573615536172
LINK,0.09670450339296721,True,0.338670339531594
BTC,0.09631342084055738,True,0.6165266687399393
AVAX,0.09548516530093254,True,0.6587096411186691
BNB,0.0943069455394272,True,0.7686055855486682
DOGE,0.0942469353114983,True,0.8698060493042988
BNB,0.0931043338683788,True,0.757299907440227
DOGE,0.09276619690254484,True,0.8550515121650878
XRP,0.09231565576373457,True,0.5631678774755127
