tf,clf,acc,mcc,flips_per_oracle_flip,flip_precision,missed_move_frac,exit_giveback_frac,ls_sharpe,lf_sharpe,bh_sharpe
1h,Always long,0.516,0.0,0.0,,0.35,,0.415,0.415,0.415
1h,"EMA cross {'fast': 5, 'slow': 50}",0.692,0.383,5.762,0.581,0.337,0.328,0.144,0.405,0.415
1h,Model v1 (no whipsaw cap),0.718,0.432,6.965,0.571,0.347,0.331,-0.248,0.117,0.415
1h,Model v2 (breadth + whipsaw cap),0.703,0.403,2.093,0.73,0.438,0.414,0.117,0.373,0.415
1h,Model v2 trained on BTC only,0.691,0.378,1.815,0.756,0.455,0.426,0.238,0.454,0.415
1h,Online directional-change {'k': 1.0},0.685,0.367,2.984,0.658,0.329,0.319,0.04,0.32,0.415
1h,Price vs EMA {'n': 50},0.693,0.385,13.005,0.537,0.288,0.282,-0.502,-0.06,0.415
1h,Strategy regime (4h SuperTrend+EMA),0.574,0.144,0.689,0.857,0.638,0.566,0.365,0.573,0.415
1h,"SuperTrend {'period': 48, 'factor': 4}",0.686,0.37,2.272,0.707,0.396,0.368,0.031,0.322,0.415
2h,Always long,0.518,0.0,0.0,,0.6,,0.422,0.422,0.422
2h,"EMA cross {'fast': 5, 'slow': 50}",0.686,0.368,5.588,0.583,0.332,0.322,0.505,0.66,0.422
2h,Model v1 (no whipsaw cap),0.714,0.422,6.883,0.572,0.339,0.333,-0.02,0.28,0.422
2h,Model v2 (breadth + whipsaw cap),0.7,0.394,2.089,0.73,0.435,0.412,0.288,0.492,0.422
2h,Model v2 trained on BTC only,0.688,0.369,1.85,0.75,0.447,0.427,0.316,0.507,0.422
2h,Online directional-change {'k': 1.0},0.69,0.374,2.949,0.661,0.329,0.322,0.256,0.472,0.422
2h,Price vs EMA {'n': 50},0.688,0.372,12.475,0.538,0.288,0.287,0.092,0.373,0.422
2h,Strategy regime (4h SuperTrend+EMA),0.65,0.297,1.222,0.831,0.524,0.483,0.439,0.628,0.422
2h,"SuperTrend {'period': 48, 'factor': 3}",0.679,0.354,3.541,0.633,0.31,0.291,0.134,0.399,0.422
4h,Always long,0.52,0.0,0.0,,0.7,,0.429,0.429,0.429
4h,"EMA cross {'fast': 5, 'slow': 50}",0.692,0.377,5.295,0.588,0.326,0.331,0.503,0.655,0.429
4h,Model v1 (no whipsaw cap),0.726,0.442,6.459,0.575,0.338,0.339,0.359,0.549,0.429
4h,Model v2 (breadth + whipsaw cap),0.709,0.41,1.981,0.742,0.432,0.423,0.439,0.604,0.429
4h,Model v2 trained on BTC only,0.696,0.383,1.745,0.766,0.445,0.432,0.499,0.634,0.429
4h,Online directional-change {'k': 1.5},0.666,0.32,1.552,0.794,0.47,0.46,0.203,0.429,0.429
4h,Price vs EMA {'n': 50},0.694,0.382,11.548,0.541,0.285,0.294,0.388,0.576,0.429
4h,Strategy regime (4h SuperTrend+EMA),0.694,0.386,2.06,0.72,0.394,0.386,0.49,0.665,0.429
4h,"SuperTrend {'period': 24, 'factor': 2}",0.657,0.31,6.029,0.576,0.228,0.229,0.181,0.438,0.429
