cand,label,cfg,split,fpt,miss,delay
"B0.5|('H', 1, 0.1, -0.1)",B0.5,"('H', 1, 0.1, -0.1)",0,8.5,0.21443771645233883,4.5
"B0.5|('H', 1, 0.1, 0.0)",B0.5,"('H', 1, 0.1, 0.0)",0,14.0,0.21443771645233883,4.5
"B0.5|('H', 1, 0.1, 0.05)",B0.5,"('H', 1, 0.1, 0.05)",0,17.333333333333332,0.21443771645233883,4.5
"B0.5|('H', 1, 0.2, -0.2)",B0.5,"('H', 1, 0.2, -0.2)",0,6.0,0.24157530759154852,5.0
"B0.5|('H', 1, 0.2, 0.0)",B0.5,"('H', 1, 0.2, 0.0)",0,13.666666666666666,0.24504739928898572,5.5
"B0.5|('H', 1, 0.2, 0.1)",B0.5,"('H', 1, 0.2, 0.1)",0,17.714285714285715,0.24504739928898572,5.5
"B0.5|('H', 1, 0.3, -0.3)",B0.5,"('H', 1, 0.3, -0.3)",0,4.714285714285714,0.2650669842579017,6.0
"B0.5|('H', 1, 0.3, 0.0)",B0.5,"('H', 1, 0.3, 0.0)",0,12.714285714285714,0.2656273635393481,6.0
"B0.5|('H', 1, 0.3, 0.15)",B0.5,"('H', 1, 0.3, 0.15)",0,17.5,0.2656273635393481,6.0
"B0.5|('H', 1, 0.4, -0.4)",B0.5,"('H', 1, 0.4, -0.4)",0,3.5,0.309243498203691,8.0
"B0.5|('H', 1, 0.4, 0.0)",B0.5,"('H', 1, 0.4, 0.0)",0,11.0,0.3107778304036188,8.0
"B0.5|('H', 1, 0.4, 0.2)",B0.5,"('H', 1, 0.4, 0.2)",0,16.2,0.3107778304036188,8.5
"B0.5|('H', 1, 0.5, -0.5)",B0.5,"('H', 1, 0.5, -0.5)",0,2.5,0.3492309637733103,11.0
"B0.5|('H', 1, 0.5, 0.0)",B0.5,"('H', 1, 0.5, 0.0)",0,9.2,0.3610435411670023,11.5
"B0.5|('H', 1, 0.5, 0.25)",B0.5,"('H', 1, 0.5, 0.25)",0,12.833333333333334,0.3622888935353123,12.0
"B0.5|('H', 3, 0.1, -0.1)",B0.5,"('H', 3, 0.1, -0.1)",0,4.428571428571429,0.2656273635393481,7.0
"B0.5|('H', 3, 0.1, 0.0)",B0.5,"('H', 3, 0.1, 0.0)",0,9.0,0.2730947177868261,7.0
"B0.5|('H', 3, 0.1, 0.05)",B0.5,"('H', 3, 0.1, 0.05)",0,10.714285714285714,0.2730947177868261,7.0
"B0.5|('H', 3, 0.2, -0.2)",B0.5,"('H', 3, 0.2, -0.2)",0,3.3333333333333335,0.30109824416015774,8.0
"B0.5|('H', 3, 0.2, 0.0)",B0.5,"('H', 3, 0.2, 0.0)",0,8.666666666666666,0.30525604411248636,8.5
"B0.5|('H', 3, 0.2, 0.1)",B0.5,"('H', 3, 0.2, 0.1)",0,10.142857142857142,0.3073427781170659,8.5
"B0.5|('H', 3, 0.3, -0.3)",B0.5,"('H', 3, 0.3, -0.3)",0,2.6666666666666665,0.3349105267724891,10.5
"B0.5|('H', 3, 0.3, 0.0)",B0.5,"('H', 3, 0.3, 0.0)",0,7.571428571428571,0.3525241712821224,11.5
"B0.5|('H', 3, 0.3, 0.15)",B0.5,"('H', 3, 0.3, 0.15)",0,9.166666666666666,0.35735061151719494,11.5
"B0.5|('H', 3, 0.4, -0.4)",B0.5,"('H', 3, 0.4, -0.4)",0,1.8571428571428572,0.3981000426425435,13.0
