variant,trades,win_rate,sharpe,cagr,max_dd,total,in_mkt,group,asset,start,end
ORIGINAL,255,0.35294117647058826,0.6025099102894713,0.39622140945869555,-0.6069195101150118,12.180989755536984,0.8292437769762905,Crypto 4h,BTCUSDT,2019-01-01,2026-09-23
HYBRID,170,0.29411764705882354,0.11758786141347574,0.054259227650357955,-0.7916019772391915,0.5041689831356935,0.5228522438361024,Crypto 4h,BTCUSDT,2019-01-01,2026-09-23
MODEL-FLIP,268,,0.2523591870915591,0.16398577692592653,-0.9045548756216076,2.232405965695326,1.0,Crypto 4h,BTCUSDT,2019-01-01,2026-09-23
BUY & HOLD,0,,0.673407944436224,0.49929235176059916,-0.7704339319608701,21.852596577970463,1.0,Crypto 4h,BTCUSDT,2019-01-01,2026-09-23
ORIGINAL,261,0.3486590038314176,0.62409855722461,0.558224545369439,-0.5893322339558502,29.782302243946475,0.789924909832673,Crypto 4h,ETHUSDT,2019-01-01,2026-09-23
HYBRID,154,0.38961038961038963,0.45615808132884317,0.2847600642030679,-0.7148402483680296,5.9307842500575,0.5388162951575711,Crypto 4h,ETHUSDT,2019-01-01,2026-09-23
MODEL-FLIP,252,,0.7041236203480726,0.7263069965174107,-0.6005479964006352,66.92425234670667,1.0,Crypto 4h,ETHUSDT,2019-01-01,2026-09-23
BUY & HOLD,0,,0.503746460444477,0.4778349898477512,-0.8111811930154683,19.444029850746272,1.0,Crypto 4h,ETHUSDT,2019-01-01,2026-09-23
ORIGINAL,260,0.34615384615384615,0.5044623702680083,0.43645328935085503,-0.7765940946723622,15.41602471457259,0.8158221486430557,Crypto 4h,BNBUSDT,2019-01-01,2026-09-23
HYBRID,149,0.348993288590604,0.3301079177341914,0.19681440529223915,-0.7087816049703528,3.007300284982521,0.5225566132560752,Crypto 4h,BNBUSDT,2019-01-01,2026-09-23
MODEL-FLIP,230,,0.6775494902421894,0.69898100211451,-0.6758623107807814,59.04626497218701,1.0,Crypto 4h,BNBUSDT,2019-01-01,2026-09-23
BUY & HOLD,0,,0.8066226358463403,0.8791904568058071,-0.779876355301908,129.84504160414676,1.0,Crypto 4h,BNBUSDT,2019-01-01,2026-09-23
ORIGINAL,259,0.3436293436293436,0.24294261517447688,0.227325450384114,-0.8082015747058597,3.8676805694744774,0.7513746821971264,Crypto 4h,XRPUSDT,2019-01-01,2026-09-23
HYBRID,166,0.37349397590361444,-0.0903493158017832,-0.05397291649658986,-0.7809746512277036,-0.34863292559424297,0.5238573878081949,Crypto 4h,XRPUSDT,2019-01-01,2026-09-23
MODEL-FLIP,264,,-0.0628365703053869,-0.05651627837583839,-0.9325946777657097,-0.3620411992977526,1.0,Crypto 4h,XRPUSDT,2019-01-01,2026-09-23
BUY & HOLD,0,,0.20406028674378532,0.20788028941360248,-0.8446614186469359,3.3026323335435883,1.0,Crypto 4h,XRPUSDT,2019-01-01,2026-09-23
ORIGINAL,260,0.36923076923076925,0.6536938318616003,0.7978690693705472,-0.7735143943047764,91.96415606787889,0.8149352569029741,Crypto 4h,ADAUSDT,2019-01-01,2026-09-23
