asset,alpha,t,alpha_bh,t_bh,group
A,-9.417981782457615e-05,-0.6608508257173925,-7.224873411663564e-05,-0.5076484747431075,Stocks all (1D)
AABA,-0.0003065881278754894,-1.2581786837573836,-0.000342605157771307,-1.36786008290314,Stocks all (1D)
AAL,-0.00018555526980358345,-0.6996973141526956,-0.00013299211655371028,-0.5142044372098846,Stocks all (1D)
AAP,0.00035033313990317605,1.5302611407611901,0.0003576590054004143,1.5183045717385981,Stocks all (1D)
AAPL,1.9822431087081018e-05,0.13525873913889622,-0.00012107240308781201,-0.7822072911466882,Stocks all (1D)
ABBV,0.00014484617244167852,1.1588063658558811,0.00013161620314068852,1.040721138097463,Stocks all (1D)
ABMD,0.0009409069561871608,2.73224727804002,0.0009400280428104635,2.720406906364956,Stocks all (1D)
ABT,-3.88924415200192e-05,-0.34461937589219094,-4.7200597030305235e-05,-0.39657453347546656,Stocks all (1D)
ABX,0.00034429353171357445,1.7605543157871126,0.00022389313697711942,1.1553950127367993,Stocks all (1D)
ACAS-201701,-0.0005119921399424998,-2.24751412993158,-0.0004791101846342991,-1.9642298909956402,Stocks all (1D)
ACGL,-7.810345692274455e-05,-0.6996795489826984,-4.1723448692773325e-05,-0.30059438580863707,Stocks all (1D)
ACN,-6.088755986707143e-05,-0.4326830803467067,-4.474032357428187e-05,-0.2865941625872489,Stocks all (1D)
ADBE,-0.00010460737647452805,-0.6263048179361529,-5.469863471822177e-05,-0.31089863143628854,Stocks all (1D)
ADI,-0.00018214282222003145,-1.1124094664182769,-9.859335653598641e-05,-0.6707605289444245,Stocks all (1D)
ADM,2.0961105765145887e-05,0.14108360536212078,5.7070892933375985e-06,0.0374710495930789,Stocks all (1D)
ADP,-0.00020146562350455822,-1.886054712353966,-0.00016399056772319558,-1.4126933707458282,Stocks all (1D)
ADSK,-4.442340241798222e-05,-0.2471890761483396,-2.4527693571709255e-05,-0.13414279529473402,Stocks all (1D)
AEE,-1.6059751649236972e-05,-0.16974032080268622,-2.0849640045652447e-05,-0.20865983448462264,Stocks all (1D)
AEP,3.848404828047802e-05,0.35135913800309576,2.879164546345955e-05,0.26233868831715607,Stocks all (1D)
AES,-5.9855116639267704e-05,-0.3600523465690708,-6.76508596705483e-06,-0.041490348385462304,Stocks all (1D)
AET-201811,8.404346272303652e-05,0.4819456511476364,4.757178596160906e-05,0.24963502568729495,Stocks all (1D)
AFL,-0.00022954207260442633,-2.01439003115381,-0.00018266154456132323,-1.2610014646191827,Stocks all (1D)
AGG,-3.7801917401155564e-05,-2.6894041369538493,-3.612725943101686e-05,-2.626361276041527,Stocks all (1D)
AGN,-0.00019577677312966434,-1.0786299286580703,-0.00020908549296239226,-1.0273759061173835,Stocks all (1D)
