variant,alpha_ann,alpha_t,ann_ret,cagr,sharpe,max_dd
"baseline (as reported, 10bp)",0.8250719275484386,5.326189123443754,0.9465503931353988,1.3656026503484004,2.30553780489765,-0.40162199737795623
costs 20bp,0.6050854468479303,3.9284494426827603,0.7266578853106727,0.8994346469561614,1.7700769762050894,-0.4740987323641658
costs 30bp,0.3850989661474218,2.5133632422557044,0.5067653774859465,0.5249177856205183,1.2344803677878753,-0.5419390459579579
shorts only via live perps + real funding (10bp),0.5802697442718785,3.366940975827018,0.7045200303493846,0.8444016575201018,1.6500732634830633,-0.40093038671041814
"  same, 20bp costs",0.35475567455043927,2.073098599498742,0.4791278039638183,0.4726190183499803,1.1223501371583975,-0.47660162499262193
"  same, shorts always PAY |funding|",0.4077965743379381,2.4029276520306837,0.5319774614578466,0.552299619476264,1.245558095601095,-0.5118654130432747
long leg minus EW market,0.30235589976771177,4.439229856553034,0.38489204129398935,0.4453976971031834,2.1271984384610327,-0.21307024875543845
EW market minus short leg,0.5227160277807263,4.97562996469846,0.563049421633578,0.6887352241838126,2.028145257719248,-0.2614322971205265
top-50 by dollar volume only,1.0750435561514466,5.7868153105360465,1.2835468563126318,2.136352434528441,2.4434122520658086,-0.4386724001975675
"drop top-5 contributors ['UNIUSDT', 'DUSKUSDT', 'ROSEUSDT', 'AXSUSDT', 'CFXUSDT']",0.7930014211940003,5.027852649557809,0.9163713620821843,1.286248506455389,2.18189767152287,-0.43635137753101516
best 1% of days removed,0.6368379669580302,4.232630809783989,0.6870720347378423,0.8402444388029026,1.7617796441287024,-0.5215730982950824
