book,alpha_ann,alpha_t,ann_ret,cagr,sharpe,max_dd,b_MKT,b_SIZE,b_UMD,b_STREV,b_LOWVOL,b_UMD_VM,b_TREND,turnover_day
PRIMARY long-only top 20%,0.08610550086335962,5.154142909423516,0.28828198133661087,0.31002889772743636,1.5203584084864408,-0.3855301019742735,0.9424151033936574,-0.08051823857583955,-0.17834970055677088,0.12312778181557317,0.16260208524112937,0.32800905232607086,0.02188588569791681,
vol-managed long-short,0.15802737038559317,6.373401706074148,0.2028084945685972,0.21814700955810182,1.9488992262770148,-0.22047923077940768,-0.03712772243170349,-0.1422284272726667,-0.18269993479522292,0.1629195713492782,0.38932406384744683,0.47155807107242415,0.0697001398618133,0.0967226530437233
"long-only, costs 25bp",0.07372382419527819,4.4141323845246765,0.275920159880475,0.29394937134198595,1.4551609647274169,-0.38656174712146296,0.9424535731091207,-0.08039304691500194,-0.1783911458154154,0.12299406151308367,0.1626671527636168,0.3280768179216656,0.021864500308901358,
long-only +1 day delay,0.08254851979388247,4.89146551528573,0.2837560504724277,0.30420195440498304,1.4991362217155089,-0.38150523783105716,0.9415178037557419,-0.08132506863318295,-0.18285322472618587,0.11589937803083263,0.16309027486028665,0.3301335884019331,0.020696620806590526,
unscaled long-short,0.1875966486160917,6.373936120615584,0.248213493851078,0.2710000498691371,1.9246827043004033,-0.2495521525511193,-0.035302242513654096,-0.1470620735759957,-0.2041736282135498,0.1820976843616785,0.5110251896236505,0.5376044776874226,0.07597814654749772,
long-only top 20%,0.08610550086335962,5.154142909423516,0.28828198133661087,0.31002889772743636,1.5203584084864408,-0.3855301019742735,0.9424151033936574,-0.08051823857583955,-0.17834970055677088,0.12312778181557317,0.16260208524112937,0.32800905232607086,0.02188588569791681,
costs 10bp (unscaled),0.19980635069025546,6.785206899845415,0.26040054813458713,0.2865703831267638,2.0192408670705144,-0.2474044188351383,-0.03535203557971241,-0.14717376517015818,-0.20420978185872657,0.18222799953681712,0.5109418224591216,0.5375974391451405,0.07600018843824913,
top-200 by dollar volume (unscaled),0.10502723121407269,2.645242503963042,0.17546657338519756,0.17669640556938432,1.0994863631472145,-0.3466514903883099,-0.0559905305255512,0.096998594194546,-0.30352936691690147,0.20525817086058287,0.5838429889309961,0.6272805720826558,0.06869926377178859,
top-50 by dollar volume (unscaled),0.021424260937082017,0.3717065708517992,0.0904213971875972,0.06863849160541172,0.41236570063866246,-0.6441465971465064,-0.04838335842723571,0.29919381352712443,-0.055141462454569294,0.21127547263088323,0.6964291156325293,0.34426290583952074,0.09124462619803327,
+1 day delay (unscaled),0.17833112964602763,6.0327447356023525,0.23667399226294317,0.2564254500395807,1.8347714947644351,-0.252836485248379,-0.03726055217794746,-0.15004443078081928,-0.2120454172619877,0.16668846308721494,0.5092014147052873,0.539326792315897,0.07629823441193723,
