filter,alpha_ann,alpha_t,ann_ret,cagr,sharpe,max_dd,fwd7_on,fwd7_off,fwd30_on,fwd30_off,crashes_avoided,rallies_captured,flips_per_coin_year,time_in_market
MODEL,0.05408260911727968,0.46121185817886445,0.23513025849160113,0.11357597244594715,0.46689600149036087,-0.6073303635617716,0.003960265819078965,0.0028070836639928804,0.004394746272412079,0.04000694511486591,0.40456699698405857,0.46718304117407256,12.13807285546416,0.5149342891278376
EMA50,,,0.18883607463790433,0.13753408994334101,0.543678053559671,-0.4097243035999265,0.007092884860596961,0.0006610103830956337,0.02851334655450245,0.01658970058494602,0.5734597156398105,0.4317162657969833,28.200646298472385,0.4259856630824373
EMA200,,,0.16936202387696492,0.11826138618582623,0.4999590595796394,-0.36436494796189034,0.008251753216169585,-4.6155850517108125e-05,0.036136934636596243,0.011387989345801462,0.6199913830245584,0.43660823481451283,11.730611045828436,0.4154121863799283
GOLDEN,,,0.10644544565410766,0.03951770426390842,0.2904441754854084,-0.4739475066203058,0.004961256555626968,0.0022134736785900874,0.017024109807930808,0.025203734152149364,0.5885394226626454,0.3791275988585406,2.1445358401880137,0.43213859020310635
MACD,,,0.1716494404115584,0.0935128209176038,0.42316189589897396,-0.577301499919044,0.005512057811113979,0.0010037229411094947,0.03351103397361594,0.008222655160319923,0.5006462731581215,0.5560538116591929,26.120446533490014,0.5317204301075269
TSMOM30,,,0.19830827026955353,0.1408575975052364,0.5421429188703507,-0.4813591872020988,0.009335459696903895,-0.0017968335139979788,0.026076627809059002,0.017808626652319384,0.5161568289530375,0.48512026090501426,31.331668625146886,0.4669056152927121
TSMOM90,,,0.12593609480394513,0.060890993792620716,0.34541920437712464,-0.5017581617684588,0.008108443894765165,-0.00039623342946168465,0.03242084314969484,0.012996516889713382,0.5657044377423525,0.47533632286995514,17.04905992949471,0.44647550776583034
DONCHIAN20_10,,,0.1645943721929726,0.12300845400613225,0.5262434460610179,-0.3823905713215757,0.007031043970976316,0.0013854972074998516,0.027988073179552743,0.01816075639909849,0.6423955191727704,0.3721973094170404,10.014982373678023,0.35698924731182796
SUPERTREND10_3,,,0.11395500706285426,0.054747935995375634,0.32638935911175926,-0.45591166844658704,0.004096284963152122,0.002891981262439971,0.018717795283629553,0.023828825094610793,0.5648427401981905,0.4166326946596005,8.728260869565217,0.42258064516129035
ADX25_DI,,,0.09178932002722627,0.0673076063537306,0.3960759254434491,-0.3657804903441656,0.008062790170622112,0.002094596782419965,0.025481129690680285,0.020600814317394522,0.7781128823782852,0.20994700366897676,11.494712103407755,0.21887694145758663
BUY_HOLD,,,0.22002128408993124,0.010642584691446568,0.34123914159829133,-0.7064866382958446,0.0034008966972570408,,0.021669002819647745,,0.0,1.0,0.0,1.0
