book,alpha_ann,alpha_t,ann_ret,cagr,sharpe,max_dd,b_MKT,b_SIZE,b_UMD,b_STREV,b_LOWVOL,b_UMD_VM,b_TREND,turnover_day
PRIMARY long-only top 20%,0.053131342100121395,3.121969416955535,0.26438947201926355,0.27624891564439463,1.3156221881799466,-0.4101824633962665,0.9900388157272831,-0.04389999635512468,-0.15164157393243696,0.13918849889956683,0.166775321318787,0.3209381795385381,0.06253525591714339,
vol-managed long-short,0.11487246393266273,3.988286290701806,0.15315199346336422,0.1590707709634175,1.459909822319739,-0.19491822977920492,0.030268875933409666,-0.07028370017586512,-0.1471190841221174,0.18095460780740935,0.4416518357585153,0.4015905341706841,0.14498032894913618,0.1080579872105296
"long-only, costs 25bp",0.03895786321969247,2.2902359785142825,0.2502170339488594,0.258303175581242,1.2450817233161153,-0.4288963713875028,0.9900669114830122,-0.043924936510110424,-0.15151213870718544,0.1390749533532004,0.16678696570778878,0.32076485493733803,0.06246519867143634,
long-only +1 day delay,0.05077317363845831,3.009514964955765,0.2612841939727702,0.2723790644287253,1.302289674671506,-0.4148387089122024,0.9896820496729907,-0.045886435522474754,-0.147892122579706,0.13552437870280673,0.16715843378998094,0.31426727800768833,0.06349219625917804,
unscaled long-short,0.12713707474859498,4.036267417103427,0.17286229398798084,0.18000827931032531,1.430328286788267,-0.16532363924072224,0.02889538908866225,-0.08422195174247386,-0.3034740606376762,0.22668005922047268,0.5208614263110327,0.615965164109089,0.18640800352161405,
long-only top 20%,0.053131342100121395,3.121969416955535,0.26438947201926355,0.27624891564439463,1.3156221881799466,-0.4101824633962665,0.9900388157272831,-0.04389999635512468,-0.15164157393243696,0.13918849889956683,0.166775321318787,0.3209381795385381,0.06253525591714339,
costs 10bp (unscaled),0.1407580201917834,4.467557978256359,0.18647760037650757,0.19617358619330852,1.5429798909924373,-0.15731817504703027,0.02886295651995758,-0.0842234780020439,-0.3035369591728665,0.22676945035771287,0.5208326658286712,0.6160491302663179,0.18646264675619945,
top-200 by dollar volume (unscaled),0.03707450926776257,0.8877194316307273,0.08342111318384494,0.07529095581978085,0.5663132131361318,-0.2614613546366953,0.07087513578172297,0.18254135999787716,-0.3078019160459809,0.2545806807695214,0.6514617781451891,0.5384519649911755,0.22326733399974066,
top-50 by dollar volume (unscaled),-0.04031315414715767,-0.7146773789959115,0.00405896771620355,-0.016951623015569937,0.019733133616481525,-0.5894159600268434,0.13091243080790654,0.3689787371893852,0.002664349314872146,0.25913827678463325,0.8005671103190115,0.136773833959236,0.2727980249588091,
+1 day delay (unscaled),0.12106091511978422,3.8961163714661535,0.16474443991989007,0.17051870391007576,1.3668069915511523,-0.1674192733235078,0.026194379314100312,-0.08929984261403567,-0.30511074599384164,0.2173401128770553,0.5164848236942006,0.6116786941446463,0.18943199600802194,
