book,alpha_ann,alpha_t,ann_ret,cagr,sharpe,max_dd,b_MKT,b_SIZE,b_UMD,b_STREV,b_LOWVOL,b_UMD_VM,b_TREND,turnover_day
PRIMARY long-only top 20%,0.009296343300919316,0.33738356819261833,0.11480334481437361,0.09440763042016961,0.5179051287077835,-0.5015850120829659,0.5338068989083924,-0.6109433901175224,-0.20824021795662429,0.10826818470392142,-0.25770724420443547,0.25959544439999066,-0.13631338058731335,
vol-managed long-short,-0.006057686848591143,-0.26972366923492586,0.014039017967525862,0.008452065656552593,0.13239406369540277,-0.6217392392107969,0.10589780960999601,-0.6183153732824805,-0.21214817997981117,0.21268887689083285,0.3440731480447039,0.2984054987173348,-0.012095628981656639,0.09870075636363881
"long-only, costs 30bp",-0.003644769221265742,-0.13224688181671668,0.10185271864823954,0.08032781401178615,0.45947277940262443,-0.5028511163009473,0.5338377219376771,-0.610987611196713,-0.20823306291000734,0.10832477307752542,-0.2576977224039454,0.259524698583291,-0.13621054710358418,
long-only +1 day delay,0.00675617019230227,0.2475515773127833,0.10992047937654345,0.08919532138708586,0.4970017296656725,-0.49818968632968474,0.5327045579266861,-0.6135211573711409,-0.21640869708722485,0.10143205691433602,-0.2588627666019389,0.26034112610885274,-0.13006827005093793,
unscaled long-short,0.01136866374080314,0.4136849848768985,0.02766770875846365,0.018293042556643314,0.20018411807009606,-0.6448430733829086,0.1447996657502837,-0.799769680119845,-0.27962050393588306,0.25834234579492754,0.5016195466532607,0.31095699857827547,-0.05648715160632531,
long-only top 20%,0.009296343300919316,0.33738356819261833,0.11480334481437361,0.09440763042016961,0.5179051287077835,-0.5015850120829659,0.5338068989083924,-0.6109433901175224,-0.20824021795662429,0.10826818470392142,-0.25770724420443547,0.25959544439999066,-0.13631338058731335,
costs 10bp (unscaled),0.036229664558342034,1.3178675560216737,0.052540299362100626,0.043936451470846356,0.38015097085808885,-0.6173258042014917,0.14473387582022726,-0.7998082375584146,-0.279568282245429,0.25825854136347376,0.5016040517346297,0.31095722005245285,-0.056663500062766804,
top-200 by dollar volume (unscaled),-0.03265472285377643,-0.9561949930540212,0.01776988190887958,0.008676220620780734,0.13142133751060428,-0.44774804356438636,0.1505951882779552,-0.16456739440574125,-0.31735980520401663,0.18015056560640316,0.26185615456610195,0.41806795328085594,-0.14872634663161408,
top-50 by dollar volume (unscaled),-0.060343747814456755,-1.4763149368105573,-0.004735181718319185,-0.0176560453529814,-0.02928434134525629,-0.5414244762752651,0.16412658043879866,-0.18879180050495367,-0.3516130589477668,0.14075843494228343,0.23383652004902708,0.476181106014006,-0.17396939852007395,
+1 day delay (unscaled),0.003924891754754974,0.14323970449848064,0.015767036705163846,0.006269649193954416,0.11421772282297618,-0.6719521903258782,0.14278139577542084,-0.8015755171120366,-0.2916019766696923,0.24232805547473585,0.4967393927802581,0.30961446800357784,-0.04419615809376001,
