strategy,coin,mcc,fpt,missed,delay,giveback,n_seg
MODEL (all blocks),BTC,0.3677218222739818,2.022727272727273,0.44464875481353594,23.0,0.4528061103271708,44
MODEL (all blocks),ETH,0.28458396132235647,2.127659574468085,0.43382044108345574,22.5,0.41177206558131735,46
MODEL (all blocks),BNB,0.37886949906830003,1.9555555555555555,0.4162802976519211,22.0,0.41076980617081527,44
MODEL (all blocks),SOL,0.37578029602276264,2.022222222222222,0.41457209922778165,21.0,0.4085263507512474,45
MODEL (all blocks),XRP,0.2806751582187621,1.6888888888888889,0.41532709089231906,23.0,0.43908292774693963,45
MODEL (all blocks),ADA,0.34375032300741204,2.5384615384615383,0.3957882110260911,20.0,0.41298760920275623,39
MODEL (all blocks),DOGE,0.2998530171740547,2.2195121951219514,0.38014254362830513,19.0,0.3988557131188245,40
MODEL (all blocks),LINK,0.3568166150007169,2.5609756097560976,0.4926244118980022,22.0,0.45393254330432675,41
MODEL (all blocks),AVAX,0.40221344396419384,2.4054054054054053,0.4143598785243527,20.0,0.4206395332638315,37
MODEL (all blocks),TRX,0.3562536934516772,2.210526315789474,0.36156986855845946,20.0,0.37477908282855427,37
ablation: price only,BTC,0.39946751015869514,1.8636363636363635,0.46104665608131457,24.5,0.4528061103271708,44
ablation: price only,ETH,0.3138176770401907,2.1702127659574466,0.40622893387262415,21.0,0.41701255571816287,46
ablation: price only,BNB,0.399175252634891,1.8222222222222222,0.40489089148153445,21.0,0.44126465836720474,44
ablation: price only,SOL,0.37113924890747574,2.111111111111111,0.398392053161151,23.0,0.4270456434423601,45
ablation: price only,XRP,0.2597954060506976,1.9555555555555555,0.44381280314013943,25.0,0.46413413688242094,45
ablation: price only,ADA,0.3380932443842203,2.5641025641025643,0.41524349985460945,22.0,0.4274250602277667,39
ablation: price only,DOGE,0.23411332346609998,2.2195121951219514,0.37318750666704237,21.5,0.4158997217461002,40
ablation: price only,LINK,0.3899217734018754,2.4634146341463414,0.45166205723126807,22.0,0.44985917294562794,41
ablation: price only,AVAX,0.4325664091854798,2.4594594594594597,0.4020583648049645,21.0,0.4172079375012776,37
