strategy,mcc_med,mcc_mean,delay_med,missed_med,fpt_med,giveback_med
ablation: price+flow+deriv,0.3868412723011283,0.36170168761923305,21.5,0.4180376675750668,2.1164613661814107,0.424933274140459
"SuperTrend {""p"": 48, ""m"": 4}",0.37942095407063015,0.3734174114421751,16.0,0.39717097210700736,2.1518847006651884,0.3988020185339899
ablation: price+flow,0.37871670470230906,0.3521784795194881,21.75,0.41625033527036454,2.0921409214092144,0.4214465916558243
ablation: price only,0.37357088043764697,0.35140923571974436,21.75,0.4055599126770793,2.140661938534279,0.42723535183506345
MODEL (all blocks),0.356535154226197,0.34465178295042176,21.5,0.41494959506005036,2.1690929451287797,0.41237983739203676
"CUSUM {""k"": 0.25, ""h"": 4}",0.26891308965491667,0.28750108302420746,17.5,0.41800834084283667,1.5055555555555555,0.41415229550880484
"EMA cross {""a"": 20, ""b"": 100}",0.2525819640393928,0.2516858345554999,34.0,0.4381479374355399,1.9444444444444444,0.47320719362899333
"EMA price {""n"": 200}",0.24000241109192855,0.24683249832332693,23.0,0.38967119520397764,5.196581196581196,0.39540687487821724
"Donchian {""n"": 55}",0.20593147051980346,0.19163822312410425,38.25,0.5745146198867381,1.2444444444444445,0.5031216171145791
MACD {},0.13784114516683815,0.13666855655243682,5.0,0.14053882859344094,10.96639566395664,0.1405858835764816
"TSMOM {""n"": 180}",0.11635844811985577,0.13304599987386914,24.5,0.34502980845870335,5.112883051907442,0.37707098524610694
