truth_k,strategy,coin,mcc,fpt,missed,delay,giveback,n_seg
1.0,META,BTC,0.37124497271822265,2.1875,0.3786689859468946,17.0,0.3638315810390723,159
1.0,META ablation: no 4h flow/deriv/cross,BTC,0.3831347760588551,2.3125,0.3802522467021136,17.0,0.36840850503864536,159
1.0,"primary unfiltered ST(48, 4)",BTC,0.38085847811618684,2.3375,0.3802522467021136,16.0,0.3698593385252791,159
1.0,"BEST plain ST(48,4.0)",BTC,0.38085847811618684,2.3375,0.3802522467021136,16.0,0.3698593385252791,159
1.0,"ST(10,3) 1h",BTC,0.3851694544785605,3.4375,0.3306372850675674,13.0,0.32639945490837285,159
1.0,"ST(48,4) 4h projected",BTC,0.11016936015763426,0.6,0.61801069482569,47.0,0.6086366096268512,159
1.0,META,ETH,0.34306274796497865,2.032258064516129,0.3877670207501308,18.5,0.35340882366063264,154
1.0,META ablation: no 4h flow/deriv/cross,ETH,0.37908145191061937,2.1354838709677417,0.39067537986531187,17.5,0.3511699585679487,154
1.0,"primary unfiltered ST(48, 4)",ETH,0.3696210620719346,2.2129032258064516,0.39067537986531187,18.0,0.3524243905929525,154
1.0,"BEST plain ST(48,4.0)",ETH,0.3696210620719346,2.2129032258064516,0.39067537986531187,18.0,0.3524243905929525,154
1.0,"ST(10,3) 1h",ETH,0.36992989053474346,3.567741935483871,0.31505210202655504,13.0,0.3065057660051413,154
1.0,"ST(48,4) 4h projected",ETH,0.1167016970307097,0.6064516129032258,0.6723062648523287,52.0,0.5998559383237323,154
1.0,META,BNB,0.32001339120385913,2.2452830188679247,0.37419183088388513,19.0,0.3711713524499506,159
1.0,META ablation: no 4h flow/deriv/cross,BNB,0.30999546459165056,2.2830188679245285,0.37369532994135607,19.0,0.37124388335231717,159
1.0,"primary unfiltered ST(48, 4)",BNB,0.3237587528753386,2.3333333333333335,0.37201501390783853,18.0,0.37109882154758406,159
1.0,"BEST plain ST(48,4.0)",BNB,0.3237587528753386,2.3333333333333335,0.37201501390783853,18.0,0.37109882154758406,159
1.0,"ST(10,3) 1h",BNB,0.31436336036341167,3.591194968553459,0.34285119010408643,15.0,0.3087731306607367,159
1.0,"ST(48,4) 4h projected",BNB,0.06769824545984593,0.5534591194968553,0.6566433892537001,39.0,0.556545847957185,159
1.0,META,SOL,0.3825417171017286,2.2012987012987013,0.4025806083493607,18.0,0.35734368872155065,154
1.0,META ablation: no 4h flow/deriv/cross,SOL,0.4093434356581101,2.3051948051948052,0.3957177744727819,17.5,0.36789826712574836,154
1.0,"primary unfiltered ST(48, 4)",SOL,0.412096803215414,2.344155844155844,0.3957177744727819,18.0,0.36313271492647736,154
1.0,"BEST plain ST(48,4.0)",SOL,0.412096803215414,2.344155844155844,0.3957177744727819,18.0,0.36313271492647736,154
1.0,"ST(10,3) 1h",SOL,0.4094657439718404,3.6493506493506493,0.30589206535033797,13.5,0.3029686307336663,154
1.0,"ST(48,4) 4h projected",SOL,0.16458508772791985,0.5,0.6498803656532963,43.5,0.5642329894139275,154
1.0,META,XRP,0.2489265096835561,2.031847133757962,0.3811798913686443,18.5,0.35126483628254546,156
1.0,META ablation: no 4h flow/deriv/cross,XRP,0.2548654169128077,2.159235668789809,0.3773539278914423,18.0,0.35849191928374086,156
1.0,"primary unfiltered ST(48, 4)",XRP,0.26409284855282006,2.299363057324841,0.3773539278914423,17.0,0.34824528657950826,156
1.0,"BEST plain ST(48,4.0)",XRP,0.26409284855282006,2.299363057324841,0.3773539278914423,17.0,0.34824528657950826,156
1.0,"ST(10,3) 1h",XRP,0.28402258150258436,3.2038216560509554,0.352681404998718,16.0,0.3322799634022702,156
1.0,"ST(48,4) 4h projected",XRP,0.12446728595376658,0.5477707006369427,0.6469523207399255,49.5,0.575883762450691,156
1.0,META,ADA,0.4217304469499299,2.0573248407643314,0.3582121906224303,19.0,0.34674311398896235,157
1.0,META ablation: no 4h flow/deriv/cross,ADA,0.4307969510373907,2.1464968152866244,0.3643121682922282,19.0,0.34469085408608574,157
1.0,"primary unfiltered ST(48, 4)",ADA,0.43397275168082206,2.1847133757961785,0.3643121682922282,18.0,0.3473629616972996,157
1.0,"BEST plain ST(48,4.0)",ADA,0.43397275168082206,2.1847133757961785,0.3643121682922282,18.0,0.3473629616972996,157
1.0,"ST(10,3) 1h",ADA,0.39092924028336573,3.4203821656050954,0.33121958828738735,14.0,0.3089812984548936,157
1.0,"ST(48,4) 4h projected",ADA,0.0903771363355934,0.6242038216560509,0.66082280091268,54.0,0.6224582028747709,157
1.0,META,DOGE,0.3280284646115662,2.111111111111111,0.39823292720157,18.0,0.35201673658322863,153
1.0,META ablation: no 4h flow/deriv/cross,DOGE,0.31317678701571666,2.3333333333333335,0.39468556319079606,18.0,0.35201673658322863,153
1.0,"primary unfiltered ST(48, 4)",DOGE,0.31755570051921195,2.372549019607843,0.39468556319079606,17.0,0.34260682253898167,153
1.0,"BEST plain ST(48,4.0)",DOGE,0.31755570051921195,2.372549019607843,0.39468556319079606,17.0,0.34260682253898167,153
1.0,"ST(10,3) 1h",DOGE,0.37288429672302914,3.4052287581699345,0.3295790201178824,14.0,0.301831043819045,153
1.0,"ST(48,4) 4h projected",DOGE,0.08011049846634205,0.6339869281045751,0.6966054111505862,48.0,0.6029096021954469,153
1.0,META,LINK,0.3600638353093725,2.0059880239520957,0.4050601975043835,18.0,0.36696962858087456,167
1.0,META ablation: no 4h flow/deriv/cross,LINK,0.352598956858882,2.1377245508982035,0.3992244426118005,18.0,0.364580345491284,167
1.0,"primary unfiltered ST(48, 4)",LINK,0.36024875507937404,2.18562874251497,0.3992244426118005,18.0,0.36577498703607925,167
1.0,"BEST plain ST(48,4.0)",LINK,0.36024875507937404,2.18562874251497,0.3992244426118005,18.0,0.36577498703607925,167
1.0,"ST(10,3) 1h",LINK,0.3579895974075607,3.2395209580838324,0.3374092238748252,13.0,0.3249215405187018,167
1.0,"ST(48,4) 4h projected",LINK,0.09826538560883916,0.5209580838323353,0.6518526550064995,48.0,0.5791737170495995,167
1.0,META,AVAX,0.33627736943372477,1.8435754189944134,0.40083568705213113,19.0,0.3501442457405195,179
1.0,META ablation: no 4h flow/deriv/cross,AVAX,0.36800323893429504,1.994413407821229,0.39693196248339535,18.0,0.3480909552473124,179
1.0,"primary unfiltered ST(48, 4)",AVAX,0.37157344763917444,2.0279329608938546,0.39478352607757633,18.0,0.3493859985217169,179
1.0,"BEST plain ST(48,4.0)",AVAX,0.37157344763917444,2.0279329608938546,0.39478352607757633,18.0,0.3493859985217169,179
1.0,"ST(10,3) 1h",AVAX,0.36761204148309834,3.201117318435754,0.3248092411546957,12.0,0.3085485689451378,179
1.0,"ST(48,4) 4h projected",AVAX,0.16100791134682996,0.5195530726256983,0.6701684420893083,46.0,0.6314030411210921,179
1.0,META,TRX,0.3838838763456436,2.425287356321839,0.3604530607794511,13.0,0.3161280136584945,173
1.0,META ablation: no 4h flow/deriv/cross,TRX,0.41437611404266544,2.425287356321839,0.3456003868356854,13.0,0.3125260344846736,173
1.0,"primary unfiltered ST(48, 4)",TRX,0.4062163236872645,2.4942528735632186,0.3456003868356854,13.0,0.3125260344846736,173
1.0,"BEST plain ST(48,4.0)",TRX,0.4062163236872645,2.4942528735632186,0.3456003868356854,13.0,0.3125260344846736,173
1.0,"ST(10,3) 1h",TRX,0.3843729045889938,3.735632183908046,0.2856137145576512,9.0,0.27624747060370713,173
1.0,"ST(48,4) 4h projected",TRX,0.21836229929631912,0.632183908045977,0.6145300782028135,40.0,0.5561580878559526,173
2.0,META,BTC,0.3133635205076638,7.0,0.20206106475064545,17.5,0.19515377771860515,50
2.0,META ablation: no 4h flow/deriv/cross,BTC,0.3038931398513656,7.4,0.20206106475064545,16.5,0.1928187183716193,50
2.0,"primary unfiltered ST(48, 4)",BTC,0.3016726052146747,7.48,0.20206106475064545,16.5,0.1928187183716193,50
2.0,"BEST plain ST(48,4.0)",BTC,0.3016726052146747,7.48,0.20206106475064545,16.5,0.1928187183716193,50
2.0,"ST(10,3) 1h",BTC,0.28794813359341725,11.0,0.17070517166726995,13.5,0.17540721472631,50
2.0,"ST(48,4) 4h projected",BTC,0.35528705881544353,1.92,0.4659422721028328,67.0,0.4419720811444628,50
2.0,META,ETH,0.257161202876068,7.0,0.2063280137399266,17.0,0.1956748117884654,45
2.0,META ablation: no 4h flow/deriv/cross,ETH,0.2974131329275168,7.355555555555555,0.20927080477652027,15.0,0.19489610266646107,45
2.0,"primary unfiltered ST(48, 4)",ETH,0.2875012521207483,7.622222222222222,0.20927080477652027,16.0,0.19489610266646107,45
2.0,"BEST plain ST(48,4.0)",ETH,0.2875012521207483,7.622222222222222,0.20927080477652027,16.0,0.19489610266646107,45
2.0,"ST(10,3) 1h",ETH,0.2719980165387731,12.28888888888889,0.1820171416371169,14.0,0.1594424068276298,45
2.0,"ST(48,4) 4h projected",ETH,0.3423700695705334,2.088888888888889,0.46168890837583626,63.0,0.40019170314060465,45
2.0,META,BNB,0.21876510584299025,8.30232558139535,0.1995129911540573,19.0,0.1770368796785286,43
2.0,META ablation: no 4h flow/deriv/cross,BNB,0.22039434897119364,8.44186046511628,0.1995129911540573,19.0,0.18179399856975936,43
2.0,"primary unfiltered ST(48, 4)",BNB,0.21502756653106092,8.627906976744185,0.1995129911540573,19.0,0.18179399856975936,43
2.0,"BEST plain ST(48,4.0)",BNB,0.21502756653106092,8.627906976744185,0.1995129911540573,19.0,0.18179399856975936,43
2.0,"ST(10,3) 1h",BNB,0.22991757719457795,13.279069767441861,0.19182578998521238,16.0,0.19043252789419995,43
2.0,"ST(48,4) 4h projected",BNB,0.4857652042498903,2.046511627906977,0.40420510544704996,70.0,0.3812536674788598,43
2.0,META,SOL,0.31298900413821806,6.918367346938775,0.19767736667809638,17.0,0.19124243447680628,49
2.0,META ablation: no 4h flow/deriv/cross,SOL,0.3125857089202357,7.244897959183674,0.19383225885347016,17.0,0.19493799403164982,49
2.0,"primary unfiltered ST(48, 4)",SOL,0.32769418453044813,7.36734693877551,0.19767736667809638,17.0,0.19493799403164982,49
2.0,"BEST plain ST(48,4.0)",SOL,0.32769418453044813,7.36734693877551,0.19767736667809638,17.0,0.19493799403164982,49
2.0,"ST(10,3) 1h",SOL,0.28763933031158856,11.46938775510204,0.16295891893376185,14.0,0.17562392974353874,49
