tf,clf,acc,mcc,flips_per_oracle_flip,flip_precision,missed_move_frac,exit_giveback_frac
1h,Always long,0.516,0.0,0.0,,0.35,
1h,"EMA cross {'fast': 5, 'slow': 50}",0.692,0.383,5.762,0.581,0.337,0.328
1h,Model v2 (previous),0.703,0.403,2.093,0.73,0.438,0.414
1h,Model v3 (frozen C),0.705,0.406,1.925,0.75,0.449,0.429
1h,Online directional-change {'k': 1.0},0.685,0.367,2.984,0.658,0.329,0.319
1h,Price vs EMA {'n': 50},0.693,0.385,13.005,0.537,0.288,0.282
1h,Strategy regime (4h SuperTrend+EMA),0.574,0.144,0.689,0.857,0.638,0.566
1h,"SuperTrend {'period': 48, 'factor': 4}",0.686,0.37,2.272,0.707,0.396,0.368
2h,Always long,0.518,0.0,0.0,,0.6,
2h,"EMA cross {'fast': 5, 'slow': 50}",0.686,0.368,5.588,0.583,0.332,0.322
2h,Model v2 (previous),0.7,0.394,2.089,0.73,0.435,0.412
2h,Model v3 (frozen C),0.699,0.392,1.936,0.748,0.441,0.425
2h,Online directional-change {'k': 1.0},0.69,0.374,2.949,0.661,0.329,0.322
2h,Price vs EMA {'n': 50},0.688,0.372,12.475,0.538,0.288,0.287
2h,Strategy regime (4h SuperTrend+EMA),0.65,0.297,1.222,0.831,0.524,0.483
2h,"SuperTrend {'period': 48, 'factor': 3}",0.679,0.354,3.541,0.633,0.31,0.291
4h,Always long,0.52,0.0,0.0,,0.7,
4h,"EMA cross {'fast': 5, 'slow': 50}",0.692,0.377,5.295,0.588,0.326,0.331
4h,Model v2 (previous),0.709,0.41,1.981,0.742,0.432,0.423
4h,Model v3 (frozen C),0.71,0.41,1.865,0.757,0.442,0.431
4h,Online directional-change {'k': 1.5},0.666,0.32,1.552,0.794,0.47,0.46
4h,Price vs EMA {'n': 50},0.694,0.382,11.548,0.541,0.285,0.294
4h,Strategy regime (4h SuperTrend+EMA),0.694,0.386,2.06,0.72,0.394,0.386
4h,"SuperTrend {'period': 24, 'factor': 2}",0.657,0.31,6.029,0.576,0.228,0.229
