cell,filter,tstat,n_trades,mean_R,win_rate,false_offs_per_uptrend,crash_done_before_off,on_in_bear,on_in_bull
Crypto 1h (2019-2026),Model (frozen),-0.046,1777,-0.001,0.515,0.313,0.0,0.068,0.195
Crypto 1h (2019-2026),Price vs EMA {'n': 50} (tuned pre-2019),2.791,699,0.102,0.567,22.27,0.175,0.34,0.655
Crypto 1h (2019-2026),"EMA cross {'fast': 5, 'slow': 50} (tuned pre-2019)",1.282,3081,0.022,0.528,9.599,0.196,0.336,0.66
Crypto 1h (2019-2026),"SuperTrend {'period': 7, 'factor': 1.5} (tuned pre-2019)",-0.231,119,-0.021,0.513,15.696,0.109,0.417,0.576
Crypto 1h (2019-2026),Online directional-change {'k': 0.25} (tuned pre-2019),-2.653,186,-0.191,0.446,33.687,0.061,0.472,0.564
Crypto 1h (2019-2026),EMA200,-1.645,3843,-0.026,0.503,9.944,0.308,0.288,0.689
Crypto 1h (2019-2026),EMA100,1.159,2496,0.022,0.527,14.71,0.229,0.307,0.68
Crypto 1h (2019-2026),No filter,-7.124,13208,-0.06,0.489,0.0,1.0,1.0,1.0
Crypto 4h (2019-2026),Model (frozen),2.364,366,0.118,0.571,0.265,0.028,0.058,0.166
Crypto 4h (2019-2026),Price vs EMA {'n': 50} (tuned pre-2019),0.315,189,0.022,0.508,18.822,0.176,0.321,0.657
Crypto 4h (2019-2026),"EMA cross {'fast': 5, 'slow': 50} (tuned pre-2019)",0.961,717,0.034,0.523,8.342,0.196,0.316,0.66
Crypto 4h (2019-2026),"SuperTrend {'period': 7, 'factor': 1.5} (tuned pre-2019)",-0.099,37,-0.016,0.514,14.313,0.114,0.398,0.585
Crypto 4h (2019-2026),Online directional-change {'k': 0.25} (tuned pre-2019),-0.594,63,-0.071,0.476,29.579,0.06,0.455,0.575
Crypto 4h (2019-2026),EMA200,2.744,953,0.085,0.546,7.893,0.297,0.274,0.69
Crypto 4h (2019-2026),EMA100,2.925,609,0.113,0.562,12.401,0.23,0.281,0.683
Crypto 4h (2019-2026),No filter,-1.029,3181,-0.018,0.496,0.0,1.0,1.0,1.0
FX 1h,Model (frozen),-11.464,2763,-0.217,0.499,0.444,0.166,0.1,0.329
FX 1h,Price vs EMA {'n': 50} (tuned pre-2019),-5.24,1128,-0.157,0.545,18.293,0.143,0.319,0.69
FX 1h,"EMA cross {'fast': 5, 'slow': 50} (tuned pre-2019)",-11.564,3438,-0.197,0.513,8.025,0.167,0.315,0.696
FX 1h,"SuperTrend {'period': 7, 'factor': 1.5} (tuned pre-2019)",-1.522,92,-0.154,0.554,14.376,0.092,0.4,0.607
FX 1h,Online directional-change {'k': 0.25} (tuned pre-2019),-7.843,94,-0.847,0.372,30.879,0.057,0.448,0.579
FX 1h,EMA200,-12.921,4038,-0.203,0.51,8.407,0.272,0.264,0.74
FX 1h,EMA100,-10.189,2846,-0.191,0.519,12.326,0.201,0.283,0.725
FX 1h,No filter,-24.449,12477,-0.217,0.498,0.0,1.0,1.0,1.0
FX 4h,Model (frozen),-3.005,650,-0.117,0.489,0.528,0.139,0.097,0.302
FX 4h,Price vs EMA {'n': 50} (tuned pre-2019),-1.044,236,-0.067,0.525,18.842,0.143,0.321,0.671
FX 4h,"EMA cross {'fast': 5, 'slow': 50} (tuned pre-2019)",-2.315,799,-0.081,0.511,8.768,0.174,0.317,0.673
FX 4h,"SuperTrend {'period': 7, 'factor': 1.5} (tuned pre-2019)",0.697,14,0.175,0.643,16.168,0.079,0.404,0.602
FX 4h,Online directional-change {'k': 0.25} (tuned pre-2019),-1.111,12,-0.315,0.417,31.852,0.055,0.446,0.583
FX 4h,EMA200,-3.144,949,-0.101,0.501,9.528,0.262,0.262,0.724
FX 4h,EMA100,-2.949,646,-0.115,0.494,13.205,0.203,0.283,0.701
FX 4h,No filter,-4.913,3052,-0.088,0.506,0.0,1.0,1.0,1.0
Indices 1h,Model (frozen),-5.424,4726,-0.079,0.537,0.573,0.272,0.175,0.489
Indices 1h,Price vs EMA {'n': 50} (tuned pre-2019),-3.232,1413,-0.086,0.536,20.957,0.124,0.317,0.705
Indices 1h,"EMA cross {'fast': 5, 'slow': 50} (tuned pre-2019)",-7.056,4129,-0.11,0.518,9.495,0.152,0.311,0.709
Indices 1h,"SuperTrend {'period': 7, 'factor': 1.5} (tuned pre-2019)",-2.514,67,-0.298,0.418,19.218,0.069,0.404,0.608
Indices 1h,Online directional-change {'k': 0.25} (tuned pre-2019),-2.896,41,-0.453,0.415,31.657,0.057,0.464,0.608
Indices 1h,EMA200,-7.153,4997,-0.101,0.526,9.022,0.241,0.285,0.767
Indices 1h,EMA100,-5.461,3537,-0.092,0.531,14.039,0.176,0.289,0.742
Indices 1h,No filter,-9.977,12427,-0.089,0.518,0.0,1.0,1.0,1.0
Indices 4h,Model (frozen),0.611,1502,0.016,0.545,0.689,0.312,0.207,0.534
Indices 4h,Price vs EMA {'n': 50} (tuned pre-2019),0.996,341,0.053,0.569,23.248,0.124,0.314,0.701
Indices 4h,"EMA cross {'fast': 5, 'slow': 50} (tuned pre-2019)",-0.476,1123,-0.014,0.531,11.125,0.143,0.309,0.704
Indices 4h,"SuperTrend {'period': 7, 'factor': 1.5} (tuned pre-2019)",-0.56,11,-0.17,0.455,21.811,0.066,0.407,0.615
Indices 4h,Online directional-change {'k': 0.25} (tuned pre-2019),1.207,11,0.327,0.727,33.955,0.064,0.466,0.629
Indices 4h,EMA200,0.038,1447,0.001,0.539,10.326,0.232,0.278,0.763
Indices 4h,EMA100,1.084,990,0.034,0.557,15.049,0.165,0.281,0.736
Indices 4h,No filter,-0.86,3279,-0.015,0.524,0.0,1.0,1.0,1.0
Stocks 1D,Model (frozen),11.251,2232,0.228,0.621,0.963,0.277,0.212,0.502
Stocks 1D,Price vs EMA {'n': 50} (tuned pre-2019),2.649,459,0.122,0.569,34.592,0.154,0.315,0.692
Stocks 1D,"EMA cross {'fast': 5, 'slow': 50} (tuned pre-2019)",6.251,1808,0.144,0.581,15.461,0.196,0.315,0.697
Stocks 1D,"SuperTrend {'period': 7, 'factor': 1.5} (tuned pre-2019)",0.281,14,0.073,0.571,31.349,0.094,0.412,0.605
Stocks 1D,Online directional-change {'k': 0.25} (tuned pre-2019),1.27,15,0.31,0.667,53.907,0.068,0.445,0.611
Stocks 1D,EMA200,7.672,2469,0.151,0.584,15.258,0.299,0.339,0.783
Stocks 1D,EMA100,6.894,1633,0.167,0.593,24.23,0.22,0.301,0.739
Stocks 1D,No filter,10.997,5427,0.145,0.58,0.0,1.0,1.0,1.0
