asset,variant,net,sharpe,dd,trades,group
BTCUSDT,ORIGINAL,1938.39,1.36,-23.27,264,Crypto
BTCUSDT,MODEL-4h,1339.17,1.27,-26.01,248,Crypto
BTCUSDT,MODEL-1h,1577.33,1.29,-28.74,283,Crypto
ETHUSDT,ORIGINAL,1529.62,1.29,-25.42,263,Crypto
ETHUSDT,MODEL-4h,909.77,1.12,-31.98,253,Crypto
ETHUSDT,MODEL-1h,844.97,1.07,-30.16,294,Crypto
BNBUSDT,ORIGINAL,791.28,0.99,-33.7,258,Crypto
BNBUSDT,MODEL-4h,687.94,0.94,-33.69,255,Crypto
BNBUSDT,MODEL-1h,840.25,1.0,-37.24,273,Crypto
XRPUSDT,ORIGINAL,652.87,0.83,-39.33,272,Crypto
XRPUSDT,MODEL-4h,615.57,0.82,-36.3,259,Crypto
XRPUSDT,MODEL-1h,821.19,0.88,-42.12,294,Crypto
ADAUSDT,ORIGINAL,1371.41,1.17,-26.9,279,Crypto
ADAUSDT,MODEL-4h,1297.54,1.18,-28.4,267,Crypto
ADAUSDT,MODEL-1h,1036.43,1.06,-36.63,298,Crypto
TRXUSDT,ORIGINAL,264.55,0.62,-59.3,301,Crypto
TRXUSDT,MODEL-4h,388.48,0.72,-52.1,268,Crypto
TRXUSDT,MODEL-1h,433.91,0.74,-56.34,310,Crypto
XAU_USD,ORIGINAL,370.56,0.57,-37.72,492,Gold+FX
XAU_USD,MODEL-4h,198.49,0.46,-33.87,428,Gold+FX
XAU_USD,MODEL-1h,560.22,0.66,-33.71,501,Gold+FX
EUR_USD,ORIGINAL,-57.56,-0.16,-68.29,568,Gold+FX
EUR_USD,MODEL-4h,-65.63,-0.26,-76.83,521,Gold+FX
EUR_USD,MODEL-1h,-77.36,-0.32,-79.44,611,Gold+FX
GBP_USD,ORIGINAL,-54.8,-0.14,-66.75,566,Gold+FX
GBP_USD,MODEL-4h,-68.93,-0.29,-80.39,517,Gold+FX
GBP_USD,MODEL-1h,-70.5,-0.25,-77.0,606,Gold+FX
AUD_USD,ORIGINAL,-64.32,-0.22,-86.17,543,Gold+FX
AUD_USD,MODEL-4h,-50.03,-0.13,-77.65,487,Gold+FX
AUD_USD,MODEL-1h,-77.69,-0.34,-88.38,578,Gold+FX
USD_CAD,ORIGINAL,-80.77,-0.4,-87.48,533,Gold+FX
USD_CAD,MODEL-4h,-83.28,-0.5,-86.7,491,Gold+FX
USD_CAD,MODEL-1h,-81.57,-0.39,-88.77,561,Gold+FX
EUR_JPY,ORIGINAL,-42.55,-0.07,-60.52,544,Gold+FX
EUR_JPY,MODEL-4h,-53.43,-0.15,-66.93,489,Gold+FX
EUR_JPY,MODEL-1h,-50.02,-0.1,-68.05,567,Gold+FX
AUD_JPY,ORIGINAL,12.84,0.14,-56.62,538,Gold+FX
AUD_JPY,MODEL-4h,-6.4,0.08,-60.38,486,Gold+FX
AUD_JPY,MODEL-1h,73.15,0.28,-56.95,546,Gold+FX
AU200_AUD,ORIGINAL,-82.29,-0.35,-89.4,670,Indices
AU200_AUD,MODEL-4h,-79.3,-0.37,-88.87,518,Indices
AU200_AUD,MODEL-1h,-72.73,-0.23,-85.1,653,Indices
FR40_EUR,ORIGINAL,-62.8,-0.14,-84.57,716,Indices
FR40_EUR,MODEL-4h,-31.25,-0.01,-67.12,501,Indices
FR40_EUR,MODEL-1h,-58.39,-0.11,-83.06,704,Indices
JP225_USD,ORIGINAL,114.89,0.33,-61.07,653,Indices
JP225_USD,MODEL-4h,45.53,0.22,-61.09,498,Indices
JP225_USD,MODEL-1h,84.26,0.29,-70.84,654,Indices
NAS100_USD,ORIGINAL,-2.89,0.1,-61.32,598,Indices
NAS100_USD,MODEL-4h,47.51,0.23,-61.18,463,Indices
NAS100_USD,MODEL-1h,0.45,0.11,-70.97,614,Indices
NL25_EUR,ORIGINAL,-57.07,-0.13,-69.54,621,Indices
NL25_EUR,MODEL-4h,-9.37,0.08,-56.69,431,Indices
NL25_EUR,MODEL-1h,-32.08,0.01,-64.66,604,Indices
SPX500_USD,ORIGINAL,-36.38,-0.04,-61.04,570,Indices
SPX500_USD,MODEL-4h,-22.4,0.01,-65.1,457,Indices
SPX500_USD,MODEL-1h,-28.37,0.0,-60.47,581,Indices
UK100_GBP,ORIGINAL,-80.41,-0.33,-84.79,731,Indices
UK100_GBP,MODEL-4h,-68.52,-0.25,-79.46,505,Indices
UK100_GBP,MODEL-1h,-76.14,-0.27,-84.29,717,Indices
US2000_USD,ORIGINAL,-61.61,-0.17,-74.72,609,Indices
US2000_USD,MODEL-4h,-44.56,-0.08,-71.09,494,Indices
US2000_USD,MODEL-1h,-51.33,-0.09,-73.65,623,Indices
