asset,variant,net,sharpe,dd,trades
BTCUSDT,ORIGINAL,1938.39,1.36,-23.27,264
BTCUSDT,MODEL-4h,1339.17,1.27,-26.01,248
BTCUSDT,MODEL-1h,1577.33,1.29,-28.74,283
ETHUSDT,ORIGINAL,1529.62,1.29,-25.42,263
ETHUSDT,MODEL-4h,909.77,1.12,-31.98,253
ETHUSDT,MODEL-1h,844.97,1.07,-30.16,294
BNBUSDT,ORIGINAL,791.28,0.99,-33.7,258
BNBUSDT,MODEL-4h,687.94,0.94,-33.69,255
BNBUSDT,MODEL-1h,840.25,1.0,-37.24,273
XRPUSDT,ORIGINAL,652.87,0.83,-39.33,272
XRPUSDT,MODEL-4h,615.57,0.82,-36.3,259
XRPUSDT,MODEL-1h,821.19,0.88,-42.12,294
ADAUSDT,ORIGINAL,1371.41,1.17,-26.9,279
ADAUSDT,MODEL-4h,1297.54,1.18,-28.4,267
ADAUSDT,MODEL-1h,1036.43,1.06,-36.63,298
TRXUSDT,ORIGINAL,264.55,0.62,-59.3,301
TRXUSDT,MODEL-4h,388.48,0.72,-52.1,268
TRXUSDT,MODEL-1h,433.91,0.74,-56.34,310
XAU_USD,ORIGINAL,370.56,0.57,-37.72,492
XAU_USD,MODEL-4h,198.49,0.46,-33.87,428
XAU_USD,MODEL-1h,560.22,0.66,-33.71,501
EUR_USD,ORIGINAL,-57.56,-0.16,-68.29,568
EUR_USD,MODEL-4h,-65.63,-0.26,-76.83,521
EUR_USD,MODEL-1h,-77.36,-0.32,-79.44,611
GBP_USD,ORIGINAL,-54.8,-0.14,-66.75,566
GBP_USD,MODEL-4h,-68.93,-0.29,-80.39,517
GBP_USD,MODEL-1h,-70.5,-0.25,-77.0,606
AUD_USD,ORIGINAL,-64.32,-0.22,-86.17,543
AUD_USD,MODEL-4h,-50.03,-0.13,-77.65,487
AUD_USD,MODEL-1h,-77.69,-0.34,-88.38,578
USD_CAD,ORIGINAL,-80.77,-0.4,-87.48,533
USD_CAD,MODEL-4h,-83.28,-0.5,-86.7,491
USD_CAD,MODEL-1h,-81.57,-0.39,-88.77,561
EUR_JPY,ORIGINAL,-42.55,-0.07,-60.52,544
EUR_JPY,MODEL-4h,-53.43,-0.15,-66.93,489
EUR_JPY,MODEL-1h,-50.02,-0.1,-68.05,567
