filter,dev_sharpe,test_sharpe,test_cagr,test_maxdd,t_2011_18,t_2019_26,invested
6 market timing: breadth>50%,0.779,1.114,0.155,-0.275,1.126,1.101,0.885
5 market timing: index>SMA200,0.754,1.01,0.138,-0.252,0.966,1.055,0.87
4 12-1 return>0 monthly,0.722,1.078,0.201,-0.302,1.094,1.075,1.0
12 blend 7+9+10,0.698,0.941,0.171,-0.282,1.024,0.882,1.0
10 low-volatility decile,0.666,0.706,0.1,-0.248,0.831,0.62,1.0
7 momentum top decile,0.556,0.927,0.289,-0.345,0.863,0.989,1.0
3 EMA50>EMA200,0.554,1.048,0.189,-0.304,1.028,1.073,1.0
8 momentum top decile + market timing,0.554,0.788,0.201,-0.362,0.897,0.692,0.87
2 price>SMA210 monthly,0.497,1.066,0.197,-0.304,1.034,1.103,1.0
9 52w-high top decile,0.438,0.574,0.107,-0.289,0.842,0.369,0.948
11 momentum top quintile & price>SMA200,0.388,0.932,0.233,-0.37,1.014,0.869,1.0
1 price>SMA200,0.258,0.988,0.176,-0.314,0.97,1.01,1.0
